ScenarioName,Year,Driver,Region,Value,StandardizedValue,Baseline,Sigma,Notes
Delayed Transition,2030,FloodRisk,North America,-2.942691584691591,-0.02051475326318394,-2.9026141329016584,1.9535917042617454,World Bank CCKP ssp245 (2020-2039)
Current Policies,2030,FloodRisk,North America,-2.9026141329016584,0.0,-2.9026141329016584,1.9535917042617454,World Bank CCKP ssp585 (2020-2039)
Net Zero 2050,2050,FloodRisk,North America,2.591415280912979,1.4173532833354785,-1.2096010305280238,2.681770562167828,World Bank CCKP ssp126 (2040-2059)
Delayed Transition,2050,FloodRisk,North America,-2.5862694483917745,-0.5133431014884849,-1.2096010305280238,2.681770562167828,World Bank CCKP ssp245 (2040-2059)
Current Policies,2050,FloodRisk,North America,-1.2096010305280238,0.0,-1.2096010305280238,2.681770562167828,World Bank CCKP ssp585 (2040-2059)
Net Zero 2050,2030,HeatIndex,Asia-Pacific (developed),3.685757875442505,-1.514502769783904,4.573813438415527,0.5863677377755698,World Bank CCKP ssp126 (2020-2039)
Delayed Transition,2030,HeatIndex,Asia-Pacific (developed),3.466461181640625,-1.8884945153628787,4.573813438415527,0.5863677377755698,World Bank CCKP ssp245 (2020-2039)
Current Policies,2030,HeatIndex,Asia-Pacific (developed),4.573813438415527,0.0,4.573813438415527,0.5863677377755698,World Bank CCKP ssp585 (2020-2039)
Net Zero 2050,2050,HeatIndex,Asia-Pacific (developed),9.115766525268555,-1.9984948996800018,21.62999725341797,6.261827703514874,World Bank CCKP ssp126 (2040-2059)
Delayed Transition,2050,HeatIndex,Asia-Pacific (developed),14.952191352844238,-1.0664307957284358,21.62999725341797,6.261827703514874,World Bank CCKP ssp245 (2040-2059)
Current Policies,2050,HeatIndex,Asia-Pacific (developed),21.62999725341797,0.0,21.62999725341797,6.261827703514874,World Bank CCKP ssp585 (2040-2059)
Net Zero 2050,2030,HeatIndex,Asia-Pacific (emerging),4.198851585388184,-1.3034861961484252,4.578715801239014,0.29142174038609897,World Bank CCKP ssp126 (2020-2039)
Delayed Transition,2030,HeatIndex,Asia-Pacific (emerging),4.005955696105957,-1.9653993705967783,4.578715801239014,0.29142174038609897,World Bank CCKP ssp245 (2020-2039)
Current Policies,2030,HeatIndex,Asia-Pacific (emerging),4.578715801239014,0.0,4.578715801239014,0.29142174038609897,World Bank CCKP ssp585 (2020-2039)
Net Zero 2050,2050,HeatIndex,Asia-Pacific (emerging),9.986396789550781,-1.9557839765934821,21.802610397338867,6.0416762532072505,World Bank CCKP ssp126 (2040-2059)
Delayed Transition,2050,HeatIndex,Asia-Pacific (emerging),13.706267356872559,-1.3400822389594824,21.802610397338867,6.0416762532072505,World Bank CCKP ssp245 (2040-2059)
Current Policies,2050,HeatIndex,Asia-Pacific (emerging),21.802610397338867,0.0,21.802610397338867,6.0416762532072505,World Bank CCKP ssp585 (2040-2059)
Net Zero 2050,2030,HeatIndex,Europe,4.032718658447266,-0.9353334497377365,4.557107448577881,0.5606436830390826,World Bank CCKP ssp126 (2020-2039)
Delayed Transition,2030,HeatIndex,Europe,3.4365854263305664,-1.9986348836988548,4.557107448577881,0.5606436830390826,World Bank CCKP ssp245 (2020-2039)
Current Policies,2030,HeatIndex,Europe,4.557107448577881,0.0,4.557107448577881,0.5606436830390826,World Bank CCKP ssp585 (2020-2039)
Net Zero 2050,2050,HeatIndex,Europe,10.863194465637207,-1.9755060991835312,18.92599868774414,4.081386650964661,World Bank CCKP ssp126 (2040-2059)
Delayed Transition,2050,HeatIndex,Europe,13.791626930236816,-1.2579969007086804,18.92599868774414,4.081386650964661,World Bank CCKP ssp245 (2040-2059)
Current Policies,2050,HeatIndex,Europe,18.92599868774414,0.0,18.92599868774414,4.081386650964661,World Bank CCKP ssp585 (2040-2059)
Net Zero 2050,2030,HeatIndex,Global,3.9034078121185303,-1.0768295395538916,4.1878662109375,0.26416288592604453,World Bank CCKP ssp126 (2020-2039)
Delayed Transition,2030,HeatIndex,Global,3.660074234008789,-1.9979792962909726,4.1878662109375,0.26416288592604453,World Bank CCKP ssp245 (2020-2039)
Current Policies,2030,HeatIndex,Global,4.1878662109375,0.0,4.1878662109375,0.26416288592604453,World Bank CCKP ssp585 (2020-2039)
Net Zero 2050,2050,HeatIndex,Global,10.071282386779785,-1.985021323946449,20.229795455932617,5.11758384990875,World Bank CCKP ssp126 (2040-2059)
Delayed Transition,2050,HeatIndex,Global,14.067740440368652,-1.2040945876585565,20.229795455932617,5.11758384990875,World Bank CCKP ssp245 (2040-2059)
Current Policies,2050,HeatIndex,Global,20.229795455932617,0.0,20.229795455932617,5.11758384990875,World Bank CCKP ssp585 (2040-2059)
Net Zero 2050,2030,HeatIndex,Latin America,3.997114896774292,-0.7588098487269761,4.333482265472412,0.4432828188279708,World Bank CCKP ssp126 (2020-2039)
Delayed Transition,2030,HeatIndex,Latin America,3.4549171924591064,-1.9819515571034554,4.333482265472412,0.4432828188279708,World Bank CCKP ssp245 (2020-2039)
Current Policies,2030,HeatIndex,Latin America,4.333482265472412,0.0,4.333482265472412,0.4432828188279708,World Bank CCKP ssp585 (2020-2039)
Net Zero 2050,2050,HeatIndex,Latin America,9.757139205932617,-1.999608999728779,19.475317001342773,4.860039035995688,World Bank CCKP ssp126 (2040-2059)
Delayed Transition,2050,HeatIndex,Latin America,14.449784278869629,-1.034051925355277,19.475317001342773,4.860039035995688,World Bank CCKP ssp245 (2040-2059)
Current Policies,2050,HeatIndex,Latin America,19.475317001342773,0.0,19.475317001342773,4.860039035995688,World Bank CCKP ssp585 (2040-2059)
Net Zero 2050,2030,HeatIndex,Middle East & Africa,3.5697708129882812,-1.8516640287403097,3.946784734725952,0.20360816859101277,World Bank CCKP ssp126 (2020-2039)
Delayed Transition,2030,HeatIndex,Middle East & Africa,3.8915603160858154,-0.27122889529577704,3.946784734725952,0.20360816859101277,World Bank CCKP ssp245 (2020-2039)
Current Policies,2030,HeatIndex,Middle East & Africa,3.946784734725952,0.0,3.946784734725952,0.20360816859101277,World Bank CCKP ssp585 (2020-2039)
Net Zero 2050,2050,HeatIndex,Middle East & Africa,10.78886604309082,-1.9999897462784322,19.71399688720703,4.462588301127061,World Bank CCKP ssp126 (2040-2059)
Delayed Transition,2050,HeatIndex,Middle East & Africa,15.276182174682617,-0.9944486053987122,19.71399688720703,4.462588301127061,World Bank CCKP ssp245 (2040-2059)
Current Policies,2050,HeatIndex,Middle East & Africa,19.71399688720703,0.0,19.71399688720703,4.462588301127061,World Bank CCKP ssp585 (2040-2059)
Net Zero 2050,2030,HeatIndex,North America,3.729048490524292,-1.5252444988417386,4.529787540435791,0.5249906165992242,World Bank CCKP ssp126 (2020-2039)
Delayed Transition,2030,HeatIndex,North America,3.54123592376709,-1.8829891152575735,4.529787540435791,0.5249906165992242,World Bank CCKP ssp245 (2020-2039)
Current Policies,2030,HeatIndex,North America,4.529787540435791,0.0,4.529787540435791,0.5249906165992242,World Bank CCKP ssp585 (2020-2039)
Net Zero 2050,2050,HeatIndex,North America,10.553837776184082,-1.902666004645206,20.296804428100586,5.1206920332469466,World Bank CCKP ssp126 (2040-2059)
Delayed Transition,2050,HeatIndex,North America,12.692115783691406,-1.4850900220193817,20.296804428100586,5.1206920332469466,World Bank CCKP ssp245 (2040-2059)
Current Policies,2050,HeatIndex,North America,20.296804428100586,0.0,20.296804428100586,5.1206920332469466,World Bank CCKP ssp585 (2040-2059)
